i_,i0_,name,mult,inchi,path
740,636,IC5KETDBO,2,"InChI=1S/C5H9O2/c1-5(2,7)3-4-6/h4H,3H2,1-2H3",
741,637,IC5KETDCO,2,"InChI=1S/C5H9O2/c1-4(2)5(7)3-6/h3-5H,1-2H3/t5-/m0/s1",
742,638,AC5H10OH,2,"InChI=1S/C5H11O/c1-3-5(2)4-6/h6H,3-4H2,1-2H3",
743,639,BC5H10OH,2,"InChI=1S/C5H11O/c1-4-5(2,3)6/h4,6H,1-3H3",
744,640,CC5H10OH,2,"InChI=1S/C5H11O/c1-4(2)5(3)6/h4-6H,3H2,1-2H3/t5-/m0/s1",
745,641,AO2C5H10OH,2,"InChI=1S/C5H11O3/c1-3-5(2,4-6)8-7/h6H,3-4H2,1-2H3/t5-/m0/s1",
746,642,BO2C5H10OH,2,"InChI=1S/C5H11O3/c1-4(8-7)5(2,3)6/h4,6H,1-3H3/t4-/m0/s1",
747,643,CO2C5H10OH,2,"InChI=1S/C5H11O3/c1-4(2)5(6)3-8-7/h4-6H,3H2,1-2H3/t5-/m0/s1",
748,644,IC3H5COCH3,1,"InChI=1S/C5H8O/c1-4(2)5(3)6/h1H2,2-3H3",
749,645,IC3H5COCH2,2,"InChI=1S/C5H7O/c1-4(2)5(3)6/h1,3H2,2H3",
750,646,AC3H4COCH3,2,"InChI=1S/C5H7O/c1-4(2)5(3)6/h1-2H2,3H3",
751,647,NEOC5H12,1,"InChI=1S/C5H12/c1-5(2,3)4/h1-4H3",
752,648,NEOC5H11,2,"InChI=1S/C5H11/c1-5(2,3)4/h1H2,2-4H3",
753,649,NEOC5H11O2H,1,"InChI=1S/C5H12O2/c1-5(2,3)4-7-6/h6H,4H2,1-3H3",
754,650,NEOC5H11O2,2,"InChI=1S/C5H11O2/c1-5(2,3)4-7-6/h4H2,1-3H3",
755,651,NEOC5H11O,2,"InChI=1S/C5H11O/c1-5(2,3)4-6/h4H2,1-3H3",
756,652,NEOC5H10OOH,2,"InChI=1S/C5H11O2/c1-5(2,3)4-7-6/h6H,1,4H2,2-3H3",
757,653,NEO-C5H10O,1,"InChI=1S/C5H10O/c1-5(2)3-6-4-5/h3-4H2,1-2H3",
758,654,NEOC5H10OOH-O2,2,"InChI=1S/C5H11O4/c1-5(2,3-8-6)4-9-7/h6H,3-4H2,1-2H3",
759,655,NEOC5H9Q2,2,"InChI=1S/C5H11O4/c1-5(2,3-8-6)4-9-7/h6-7H,1,3-4H2,2H3",
760,656,NEOC5KET,1,"InChI=1S/C5H10O3/c1-5(2,3-6)4-8-7/h3,7H,4H2,1-2H3",
761,657,NEOC5KETOX,2,"InChI=1S/C5H9O2/c1-5(2,3-6)4-7/h3H,4H2,1-2H3",
762,658,NEOC5KEJOL,2,"InChI=1S/C5H9O2/c1-5(2,3-6)4-7/h6H,3H2,1-2H3",
763,659,IC4H6Q2-II,1,"InChI=1S/C4H8O4/c1-4(2-7-5)3-8-6/h5-6H,1-3H2",
764,660,NEOC5H9O-OOH,1,"InChI=1S/C5H10O3/c1-5(4-8-6)2-7-3-5/h6H,2-4H2,1H3",
765,661,C5H10-1,1,"InChI=1S/C5H10/c1-3-5-4-2/h3H,1,4-5H2,2H3",
766,662,C5H10-2,1,"InChI=1S/C5H10/c1-3-5-4-2/h3,5H,4H2,1-2H3/b5-3-",
767,662,C5H10-2,1,"InChI=1S/C5H10/c1-3-5-4-2/h3,5H,4H2,1-2H3/b5-3+",
768,663,C5H81-3,1,"InChI=1S/C5H8/c1-3-5-4-2/h3-5H,1H2,2H3/b5-4-",
769,663,C5H81-3,1,"InChI=1S/C5H8/c1-3-5-4-2/h3-5H,1H2,2H3/b5-4+",
770,664,C5H91-3,2,"InChI=1S/C5H9/c1-3-5-4-2/h3,5H,1,4H2,2H3",
771,665,C5H91-4,2,"InChI=1S/C5H9/c1-3-5-4-2/h3-4H,1,5H2,2H3",
772,666,C5H91-5,2,"InChI=1S/C5H9/c1-3-5-4-2/h3H,1-2,4-5H2",
773,667,C5H92-4,2,"InChI=1S/C5H9/c1-3-5-4-2/h3-5H,1-2H3",
774,668,C5H92-5,2,"InChI=1S/C5H9/c1-3-5-4-2/h4-5H,1,3H2,2H3/b5-4-",
775,668,C5H92-5,2,"InChI=1S/C5H9/c1-3-5-4-2/h4-5H,1,3H2,2H3/b5-4+",
776,669,C5H9O1-3,2,"InChI=1S/C5H9O/c1-3-5(6)4-2/h3,5H,1,4H2,2H3/t5-/m0/s1",
777,670,C5H9O2-4,2,"InChI=1S/C5H9O/c1-3-4-5(2)6/h3-5H,1-2H3/b4-3-/t5-/m0/s1",
778,670,C5H9O2-4,2,"InChI=1S/C5H9O/c1-3-4-5(2)6/h3-5H,1-2H3/b4-3+/t5-/m0/s1",
779,671,BC5H10,1,"InChI=1S/C5H10/c1-4-5(2)3/h4H,1-3H3",
780,672,CC5H10,1,"InChI=1S/C5H10/c1-4-5(2)3/h4-5H,1H2,2-3H3",
781,673,CC5H9-A,2,"InChI=1S/C5H9/c1-4-5(2)3/h4-5H,1-2H2,3H3/t5-/m0/s1",
